City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,manggar,-2.8833,108.2667,25.93,86,49,3.5,ID,1675986462
84,umm kaddadah,13.6017,26.6876,16.91,15,34,5.48,SD,1675986462
85,kloulklubed,7.0419,134.2556,24.28,76,87,6.7,PW,1675986462
86,esso,55.9333,158.7,-16.98,98,95,1.37,RU,1675986463
87,sarahan,31.5167,77.8,2.8,96,100,1.87,IN,1675986463
88,syracuse,37.0881,15.2792,8.65,92,100,18.69,IT,1675986270
89,qaqortoq,60.7167,-46.0333,-3.16,97,100,1.04,GL,1675986464
90,dingle,10.9995,122.6711,25.34,86,77,4.37,PH,1675986464
91,acarau,-2.8856,-40.12,27.1,80,95,4.82,BR,1675986464
92,guerrero negro,27.9769,-114.0611,22.6,25,1,3.66,MX,1675986465
93,ginir,7.1333,40.7,15.03,36,10,1.46,ET,1675986465
94,hambantota,6.1241,81.1185,23.49,81,92,3.73,LK,1675986466
95,boa vista,2.8197,-60.6733,28.99,61,40,3.09,BR,1675986167
96,safaga,26.7292,33.9365,15.52,41,100,4.66,EG,1675986244
97,novoagansk,61.9449,76.6625,-24.45,100,77,2.37,RU,1675986466
98,deputatskiy,69.3,139.9,-42.19,100,89,1.8,RU,1675986467
99,bandarbeyla,9.4942,50.8122,24.04,73,70,5.91,SO,1675986467
100,bethel,41.3712,-73.414,8.9,81,100,4.63,US,1675986310
101,tuatapere,-46.1333,167.6833,16.47,46,54,2.11,NZ,1675986468
102,college,64.8569,-147.8028,-14.56,81,40,1.54,US,1675986468
103,fuxin,42.0156,121.6589,-4.86,96,76,1.59,CN,1675986469
104,oistins,13.0667,-59.5333,25.05,73,20,8.23,BB,1675986469
105,provideniya,64.3833,-173.3,-19.94,71,100,5.0,RU,1675986470
106,hofn,64.2539,-15.2082,-2.98,44,100,3.58,IS,1675986470
107,mulege,26.8833,-111.9833,20.12,32,65,6.08,MX,1675986470
108,narsaq,60.9167,-46.05,-5.88,97,100,1.24,GL,1675986471
109,pella,59.7775,30.8181,-1.97,86,100,5.4,RU,1675986471
110,necochea,-38.5473,-58.7368,18.88,90,0,4.7,AR,1675986472
111,ontario,34.0633,-117.6509,26.22,16,0,9.77,US,1675986067
112,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1675986219
113,lebu,-37.6167,-73.65,16.28,90,2,3.37,CL,1675986472
114,vao,-22.6667,167.4833,26.02,84,100,7.17,NC,1675986472
115,saint george,37.1041,-113.5841,12.46,15,0,4.63,US,1675986190
